analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_significant_probability	maximum_seed_significant_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_observed_events_across_seeds	median_assigned_dropout_across_seeds	median_observed_pre_event_dropout_across_seeds
early_window_diagnostic	120	0.15	crossing	2.0	0.5	administrative_only	0.0	1500	611	0.4073333333333333	225	0.15	0.13282503739852355	0.16896306410560344	0.128	0.176	0.14933333333333335	0.0006666666666666666	1.6550412534604129	0.546470046168118	108.0	9.0	0.0	0.0
early_window_diagnostic	120	0.15	crossing	2.0	0.5	event_risk_dependent	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	1.0	0.24770642201834864	0.24770642201834864
early_window_diagnostic	120	0.15	crossing	2.0	0.5	independent	0.25	1500	531	0.354	200	0.13333333333333333	0.11706368213859258	0.15147623372287383	0.126	0.14	0.13333333333333333	0.0	1.6964494759712117	0.5619187578386682	108.0	8.0	0.25	0.22684391080617494
early_window_diagnostic	120	0.15	crossing	2.0	0.5	joint_score_event_risk	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	2.0	0.24778761061946902	0.24778761061946902
early_window_diagnostic	120	0.15	crossing	2.0	0.5	score_dependent	0.25	1500	423	0.282	152	0.10133333333333333	0.08706588865278152	0.11763751077477654	0.098	0.104	0.10133333333333333	0.0	1.554999921763038	0.5225630042871234	108.0	8.0	0.25	0.21904761904761905
early_window_diagnostic	120	0.15	early_only	2.2	1.0	administrative_only	0.0	1500	793	0.5286666666666666	340	0.22666666666666666	0.20619294297273874	0.24853681248762713	0.214	0.238	0.22666666666666666	0.0	1.829096473273796	0.5757101666616051	108.0	10.0	0.0	0.0
early_window_diagnostic	120	0.15	early_only	2.2	1.0	event_risk_dependent	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	1.0	0.25	0.25
early_window_diagnostic	120	0.15	early_only	2.2	1.0	independent	0.25	1500	712	0.4746666666666667	308	0.20533333333333334	0.18565623226611358	0.2265158455716467	0.198	0.22	0.20533333333333334	0.0	1.7057002101815146	0.5642466841393574	108.0	9.0	0.2488938053097345	0.22641509433962265
early_window_diagnostic	120	0.15	early_only	2.2	1.0	joint_score_event_risk	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	2.0	0.2511261261261261	0.2511261261261261
early_window_diagnostic	120	0.15	early_only	2.2	1.0	score_dependent	0.25	1500	617	0.41133333333333333	245	0.16333333333333333	0.1454899366830245	0.182896713335231	0.148	0.176	0.16333333333333333	0.0	1.6900747426984188	0.5670093568020821	108.0	9.0	0.25	0.21495327102803738
early_window_diagnostic	120	0.15	late_only	1.0	2.2	administrative_only	0.0	1500	270	0.18	12	0.008	0.0045822256095402435	0.013931334219118342	0.008	0.008	0.004	0.004	-0.12538574825093712	-0.0390261516325362	108.0	7.0	0.0	0.0
early_window_diagnostic	120	0.15	late_only	1.0	2.2	event_risk_dependent	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	1.0	0.25	0.25
early_window_diagnostic	120	0.15	late_only	1.0	2.2	independent	0.25	1500	230	0.15333333333333332	10	0.006666666666666667	0.003625216034182259	0.01222848894306348	0.002	0.012	0.004	0.0026666666666666666	-0.008253573137092421	-0.002919500395271463	108.0	7.0	0.25	0.22832080200501254
early_window_diagnostic	120	0.15	late_only	1.0	2.2	joint_score_event_risk	0.25	1500	7	0.004666666666666667	1	0.0006666666666666666	0.00011769273167436408	0.0037666654142135486	0.0	0.002	0.0	0.0006666666666666666	-1.4452536740572515	-0.5420857612531998	108.0	4.0	0.25	0.25
early_window_diagnostic	120	0.15	late_only	1.0	2.2	score_dependent	0.25	1500	194	0.12933333333333333	8	0.005333333333333333	0.0027049287623018017	0.010488921363531084	0.004	0.008	0.0026666666666666666	0.0026666666666666666	-0.09832256654466989	-0.033028160516634604	108.0	6.0	0.25	0.22325762829403606
early_window_diagnostic	120	0.15	null	1.0	1.0	administrative_only	0.0	1500	505	0.33666666666666667	27	0.018	0.012399833223269055	0.026062637990985904	0.014	0.026	0.007333333333333333	0.010666666666666666	-0.07072886269934081	-0.02251241732156102	108.0	8.0	0.0	0.0
early_window_diagnostic	120	0.15	null	1.0	1.0	event_risk_dependent	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	1.0	0.24761904761904763	0.24761904761904763
early_window_diagnostic	120	0.15	null	1.0	1.0	independent	0.25	1500	396	0.264	19	0.012666666666666666	0.008123957091804919	0.019699094716798638	0.012	0.014	0.006	0.006666666666666667	-0.023746496847726006	-0.008383543713003759	108.0	8.0	0.24761904761904763	0.22641509433962265
early_window_diagnostic	120	0.15	null	1.0	1.0	joint_score_event_risk	0.25	1500	5	0.0033333333333333335	5	0.0033333333333333335	0.0014246155236142537	0.00777945232509936	0.002	0.006	0.0	0.0033333333333333335	-2.643684201917289	-0.9252565072118859	108.0	4.0	0.25225225225225223	0.25225225225225223
early_window_diagnostic	120	0.15	null	1.0	1.0	score_dependent	0.25	1500	430	0.2866666666666667	20	0.013333333333333334	0.008647712947540034	0.02050526628676995	0.01	0.02	0.004	0.009333333333333334	-0.007447539787926983	-0.0025765723355971313	108.0	8.0	0.25	0.22727272727272727
early_window_diagnostic	120	0.15	proportional	1.7	1.7	administrative_only	0.0	1500	508	0.33866666666666667	107	0.07133333333333333	0.05937394629575595	0.08548271897501297	0.066	0.074	0.07066666666666667	0.0006666666666666666	1.2572285790022621	0.40282353315786495	108.0	9.0	0.0	0.0
early_window_diagnostic	120	0.15	proportional	1.7	1.7	event_risk_dependent	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	1.0	0.25	0.25
early_window_diagnostic	120	0.15	proportional	1.7	1.7	independent	0.25	1500	458	0.30533333333333335	104	0.06933333333333333	0.057547868080283275	0.0833190149133664	0.06	0.078	0.06933333333333333	0.0	1.3346160155992102	0.4321005523201812	108.0	8.0	0.25	0.2289646133682831
early_window_diagnostic	120	0.15	proportional	1.7	1.7	joint_score_event_risk	0.25	1500	0	0.0	0	0.0	0.0	0.002554430720181488	0.0	0.0	0.0	0.0			108.0	2.5	0.25229435042519155	0.25229435042519155
