gene	wave18_call	wave18_rescue_score	local_evidence_score	druggability_access_score	prior_art_saturation_penalty	direction_penalty	class	accessibility	modality	direction	wave18_call_reason	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_disease_count_union	local_state_coupled_disease_union	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	broad_ms_wm_delta_log2	broad_ms_wm_p	broad_discovery_priority_score	cross_trend_or_better_diseases	cross_negative_trend_diseases	cross_supporting_diseases	surface_delta_trend_diseases	surface_delta_fdr10_diseases	surface_negative_delta_diseases	surface_resid_state_diseases	surface_raw_state_diseases	surface_confounder_dominant_diseases	surface_rank_score	surface_local_call	surface_delta_supporting_diseases	surface_resid_supporting_diseases	surface_reason	orchestrator_class	orchestrator_expr_trend_diseases	orchestrator_expr_negative_diseases	orchestrator_resid_state_diseases	orchestrator_raw_state_diseases	orchestrator_priority_score	orchestrator_expression_supporting_diseases	orchestrator_resid_supporting_diseases	axis_mentions	axis_mentioned_disease_count	axis_mentioned_diseases	existing_positive_rows	existing_negative_rows	existing_positive_diseases	existing_negative_diseases	local_opentargets_disease_rows	local_opentargets_diseases	local_opentargets_max_overall	local_opentargets_max_genetic_association	europepmc_hit_count	clinical_trials_hit_count	clinical_trials_returned_count	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_activity_records	europepmc_url	clinical_trials_url	chembl_url	opentargets_url	google_patents_url	blocked_status_note
ITGAM	PARK	11.5	13.5	2	4	0	CD11b/complement receptor 3 integrin	membrane_receptor	integrin antibody/allosteric modulation	activate/restore phagocytic regulation in SLE genetics; broad blockade unsafe	local recurrence below promotion threshold (3<4 disease union); directional contradictions/negative trends present (broad=0, surface=0, orchestrator=1); prior-art saturation high (EuropePMC=29214, ClinicalTrials=1)	3	Hashimoto thyroiditis;Sjogren syndrome;celiac disease	7	Crohn disease;MS;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	1	0	Sjogren syndrome		-0.3368162608128262	0.0789952352945762	4.038106393839863	0	0		2	1	0	6	6	4	19.1875	WATCHLIST	Hashimoto thyroiditis;celiac disease	Crohn disease;MS;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	watchlist: residual state support present but GO gate not met	uptake_complement_phagocytosis	0	1	2	2	3.25		rheumatoid arthritis;type 1 diabetes mellitus		0		1	1	MS	MS	0		0	0	29214	1	1	CHEMBL3826	Integrin alpha-M	SINGLE PROTEIN	0	https://europepmc.org/search?query=%28%22ITGAM%22+OR+CD11b+OR+%22complement+receptor+3%22%29+autoimmune	https://clinicaltrials.gov/search?term=ITGAM+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3826	https://platform.opentargets.org/search?q=ITGAM	https://patents.google.com/?q=ITGAM+CD11b+autoimmune+integrin	
CD44	PARK	9.8	12.8	2	4	1	hyaluronan/SPP1 glycan-adhesion receptor	membrane_receptor	antibody/ligand blockade; hyaluronan or SPP1-axis modulation	blockade might reduce retention/migration; could also impair repair and leukocyte trafficking	directional contradictions/negative trends present (broad=1, surface=0, orchestrator=0); prior-art saturation high (EuropePMC=20529, ClinicalTrials=6)	5	Crohn disease;Hashimoto thyroiditis;MS;type 1 diabetes mellitus;ulcerative colitis	4	Crohn disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus	2	1	Crohn disease;ulcerative colitis	ulcerative colitis	1.3446537852001974	0.0331669831445104	15.286751023530666	4	0	Crohn disease;Hashimoto thyroiditis;MS;ulcerative colitis	0	0	0	0	0	0						glycan_checkpoint_surface	4	0	4	4	12.0	Crohn disease;MS;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus		0		1	0	MS		0		0	0	20529	6	6	CHEMBL3232692	CD44 antigen	SINGLE PROTEIN	21	https://europepmc.org/search?query=%22CD44%22+autoimmune	https://clinicaltrials.gov/search?term=CD44+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3232692	https://platform.opentargets.org/search?q=CD44	https://patents.google.com/?q=CD44+antibody+autoimmune+disease+hyaluronan	
CD274	PARK	9.1	11.1	3	5	0	PD-L1 immune checkpoint	membrane_ligand	checkpoint agonism/PD-L1-Fc or PD-1 pathway engagement	agonism/tolerizing direction, not oncology-style blockade	state-coupled support below threshold (3<4 disease union); prior-art saturation high (EuropePMC=32490, ClinicalTrials=10)	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	3	Crohn disease;psoriasis;type 1 diabetes mellitus	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.3544765521359103	0.3282160655447695	17.0	0	0		0	0	0	0	0	0						glycan_checkpoint_surface	3	0	3	1	8.0	Crohn disease;Sjogren syndrome;psoriasis	Crohn disease;psoriasis;type 1 diabetes mellitus		0		0	0			0		0	0	32490	10	10	CHEMBL3580522	Programmed cell death 1 ligand 1	SINGLE PROTEIN	1875	https://europepmc.org/search?query=%28%22PD-L1%22+OR+CD274%29+autoimmune	https://clinicaltrials.gov/search?term=PD-L1+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3580522	https://platform.opentargets.org/search?q=CD274	https://patents.google.com/?q=PD-L1+agonist+autoimmune+disease+CD274	
ITGAX	PARK	8.7	9.7	2	3	0	CD11c integrin/APC receptor	membrane_receptor	antibody or cell-targeting marker; direct chronic modulation unattractive	likely APC marker/depletion handle, not state-specific rescue	directional contradictions/negative trends present (broad=1, surface=0, orchestrator=0); confounder/myeloid dominance high in surface screen (6 diseases); prior-art saturation high (EuropePMC=19941, ClinicalTrials=1)	4	Crohn disease;Hashimoto thyroiditis;celiac disease;ulcerative colitis	4	Crohn disease;MS;celiac disease;type 1 diabetes mellitus	0	1		Sjogren syndrome	0.2151820815240768	0.3579417732954114	-3.920080586337931	0	0		4	1	0	4	4	6	16.1875	NO_GO	Crohn disease;Hashimoto thyroiditis;celiac disease;ulcerative colitis	Crohn disease;MS;celiac disease;type 1 diabetes mellitus	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	2	0	2	1	7.5	Crohn disease;ulcerative colitis	Crohn disease;type 1 diabetes mellitus		0		0	0			0		0	0	19941	1	1					https://europepmc.org/search?query=%28%22ITGAX%22+OR+CD11c%29+autoimmune	https://clinicaltrials.gov/search?term=ITGAX+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ITGAX	https://platform.opentargets.org/search?q=ITGAX	https://patents.google.com/?q=ITGAX+CD11c+autoimmune+antibody	
TYROBP	PARK	7.5	11.5	-2	2	0	TREM/DAP12 adaptor	intracellular_adaptor	poor direct modality; pathway readout	direction follows receptor context; not directly accessible	directional contradictions/negative trends present (broad=1, surface=0, orchestrator=0); confounder/myeloid dominance high in surface screen (5 diseases)	4	Hashimoto thyroiditis;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	4	Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis	1	1	type 1 diabetes mellitus	ulcerative colitis	0.1685367778685798	0.2296542729530867	1.0	0	0		3	2	0	3	6	5	16.4375	NO_GO	Hashimoto thyroiditis;Sjogren syndrome;ulcerative colitis	Sjogren syndrome;celiac disease;psoriasis	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	2	0	2	1	7.5	Sjogren syndrome;ulcerative colitis	Sjogren syndrome;rheumatoid arthritis		0		0	0			0		0	0	2193	0	0					https://europepmc.org/search?query=%28%22TYROBP%22+OR+DAP12%29+autoimmune	https://clinicaltrials.gov/search?term=TYROBP+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TYROBP	https://platform.opentargets.org/search?q=TYROBP	https://patents.google.com/?q=TYROBP+DAP12+autoimmune	
CD24	PARK	5.0	6.0	2	3	0	CD24-SIGLEC10 DAMP/glycan checkpoint	membrane_glycoprotein	CD24Fc/Siglec-10 checkpoint agonism or CD24-directed biologic	agonize inhibitory DAMP checkpoint; local state link must be proven	state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=5154, ClinicalTrials=1)	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		-0.3131457372415891	0.79096128985077	22.0	0	0		0	0	0	0	0	0							0	0	0	0					0		0	0			0		0	0	5154	1	1					https://europepmc.org/search?query=%28%22CD24%22+OR+%22CD24Fc%22%29+autoimmune	https://clinicaltrials.gov/search?term=CD24Fc+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD24	https://platform.opentargets.org/search?q=CD24	https://patents.google.com/?q=CD24Fc+autoimmune+disease+Siglec-10	
MSR1	PARK	4.7	6.7	2	3	1	scavenger receptor A/CD204	membrane_receptor	antibody/ligand modulation; delivery handle	blocking may impair debris/lipid clearance; agonism unclear	local recurrence below promotion threshold (3<4 disease union); confounder/myeloid dominance high in surface screen (9 diseases); prior-art saturation high (EuropePMC=6103, ClinicalTrials=0)	3	Hashimoto thyroiditis;MS;Sjogren syndrome	4	Crohn disease;celiac disease;psoriasis;type 1 diabetes mellitus	0	0			0.5659305923555848	0.0313140694878595	8.853999942239374	1	0	MS	2	0	0	4	4	9	9.4375	NO_GO	Hashimoto thyroiditis;MS	Crohn disease;celiac disease;psoriasis;type 1 diabetes mellitus	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	2	0	2	1	5.5	MS;Sjogren syndrome	Crohn disease;type 1 diabetes mellitus		0		9	0	Crohn;Sjogren;UC;lupus_nephritis;psoriasis		0		0	0	6103	0	0	CHEMBL5811	Macrophage scavenger receptor types I and II	SINGLE PROTEIN	2	https://europepmc.org/search?query=%28%22MSR1%22+OR+%22scavenger+receptor+A%22+OR+CD204%29+autoimmune	https://clinicaltrials.gov/search?term=MSR1+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5811	https://platform.opentargets.org/search?q=MSR1	https://patents.google.com/?q=MSR1+CD204+autoimmune+antibody	
LILRB2	PARK	4.0	3.0	2	1	0	inhibitory myeloid/HLA receptor	membrane_receptor	antibody modulation	agonism may suppress myeloid activation; needs disease-direction proof	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	2	Crohn disease;ulcerative colitis	0		2	0	Crohn disease;ulcerative colitis		-0.7296611895492067	0.0077844079989185	10.0	0	0		0	0	0	0	0	0							0	0	0	0					0		0	0			0		0	0	898	0	0					https://europepmc.org/search?query=%28%22LILRB2%22+OR+ILT4%29+autoimmune	https://clinicaltrials.gov/search?term=LILRB2+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB2	https://platform.opentargets.org/search?q=LILRB2	https://patents.google.com/?q=LILRB2+ILT4+autoimmune+antibody	
SIRPA	PARK	4.0	3.0	2	1	0	CD47-SIRPA phagocytosis checkpoint receptor	membrane_receptor	SIRPA antibody/fusion proteins	blockade increases phagocytosis; agonism would need repair-preserving proof	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	2	Crohn disease;psoriasis	0		2	0	Crohn disease;psoriasis		0.1677681996050939	0.2355404004395136	8.164550878914916	0	0		0	0	0	0	0	0							0	0	0	0					0		0	0			0		0	0	872	0	0					https://europepmc.org/search?query=%28%22SIRPA%22+OR+%22SIRP+alpha%22%29+autoimmune	https://clinicaltrials.gov/search?term=SIRPA+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIRPA	https://platform.opentargets.org/search?q=SIRPA	https://patents.google.com/?q=SIRPA+autoimmune+disease+antibody	
GPNMB	PARK	3.9	3.9	2	1	1	surface/secreted lipid-loader repair-state glycoprotein	membrane_secreted	antibody/ADC precedent; non-cytotoxic agonist or delivery handle would be needed	do not deplete unless pathogenic subset proven; likely marker/delivery handle	local recurrence below promotion threshold (3<4 disease union); state-coupled support below threshold (3<4 disease union); directional contradictions/negative trends present (broad=2, surface=0, orchestrator=0); confounder/myeloid dominance high in surface screen (7 diseases)	3	Hashimoto thyroiditis;MS;type 1 diabetes mellitus	3	MS;celiac disease;psoriasis	1	2	type 1 diabetes mellitus	psoriasis;ulcerative colitis	1.4339584334150557	0.0049097425501504	5.712142231935277	1	0	MS	2	1	0	3	4	7	9.125	NO_GO	Hashimoto thyroiditis;MS	MS;celiac disease;psoriasis	confounder/myeloid coupling dominates state coupling; strong local state biology but weak direct druggability/tractable modulation		0	0	0	0				lipid_loader_repair	3	MS;SLE_LN;Crohn	6	4	Crohn;MS;UC;lupus_nephritis	RA;psoriasis	0		0	0	782	1	1	CHEMBL3712919	Transmembrane glycoprotein NMB	SINGLE PROTEIN	0	https://europepmc.org/search?query=%28%22GPNMB%22+OR+osteoactivin%29+autoimmune	https://clinicaltrials.gov/search?term=GPNMB+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3712919	https://platform.opentargets.org/search?q=GPNMB	https://patents.google.com/?q=GPNMB+autoimmune+antibody+osteoactivin	
