source_family	gate	n
composition_confounding	specificity_control	2
creative_generation_data_gate	evidence_resolution_or_data_gap	2
multiplicity_overfit	complexity_overfit	2
missing_decisive_metadata	evidence_resolution_or_data_gap	1
missing_decisive_modality	evidence_resolution_or_data_gap	1
multiplicity_compartment_scan	complexity_overfit	1
sample_size_power	evidence_resolution_or_data_gap	1
small_n_therapy_specificity	context_axis_or_branch	1
technical_qc_limit	evidence_resolution_or_data_gap	1
therapy_branch_specificity	context_axis_or_branch	1
